,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,credit.policy,purpose,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
0,0.10258323249007899,20.605475476258096,11.273506253754821,12.46722607139342,0.31937947784462367,61.88320122502892,42.57800711004653,20.448191452739405,1,2,0,0,0,0
1,0.09369155285535771,13.14558676329053,11.007861045444628,9.637934923110654,0.3193794777982281,47.00464991675338,44.27612069450185,26.926534607245426,1,1,0,0,0,0
2,0.1148229895945543,15.572202039785036,10.306014888497387,8.110934827618902,0.31937947775286496,57.75684700118909,24.42010224648204,12.225866633421495,1,2,1,0,0,0
3,0.08884087707171043,11.599771025060233,11.273506253754821,5.9730223659318655,0.3193794778065261,46.60570193772512,44.29090113829363,26.05003851046233,1,2,1,0,0,0
4,0.1197126006473757,9.758462203794593,11.223328381806487,10.018972582919622,0.31937947772218217,54.58599934142327,26.496515202108224,16.75981723535784,1,1,0,1,0,0
5,0.07131171496209275,10.517855053304714,11.822582501863065,11.125998677038327,0.31937947783003146,63.845632984452685,49.17253028571536,20.138299424804803,1,1,0,0,0,0
6,0.12459394967269426,12.389624482407184,10.643688304073773,3.245992347804798,0.31937947772218217,49.65276695423287,25.022884536303472,26.951389554555853,1,2,0,0,1,1
7,0.09696065264317004,10.709233623997697,10.92859525371106,7.78709035483458,0.3193794778224196,59.61655451710073,40.707199819902364,24.877667782038383,1,0,0,0,0,1
8,0.09846980077652441,9.147337348503115,11.330103746160498,11.27265961332464,0.31937947775286496,54.18608214400067,53.293844306039034,20.166557467494243,1,4,1,0,0,0
9,0.10495200213075814,9.019159980245393,10.137722311183529,7.141922181958083,0.3193794777982281,46.806285976412546,27.7540484546088,11.300359471562759,1,2,1,0,0,0
10,0.11410782332674003,15.475678179214878,10.366063885636493,13.831107294947897,0.3193794777429481,66.1393509044656,35.217502368159955,25.492330593793675,1,2,2,0,1,0
11,0.11245660139360274,13.655714582050134,11.753321003307464,6.630871228158911,0.31937947771130876,55.76268610021922,27.05672508790928,9.501889438586444,1,2,2,1,0,0
12,0.07707153603739994,14.774721688342881,10.860270386715404,10.30804830282376,0.3193794778838416,65.40713029787624,28.31751180966967,8.911259424650122,1,2,0,0,0,0
13,0.06520089318199228,9.37437432979169,11.434427638066884,4.948183267902928,0.31937947785842147,56.18863165825165,23.433483593032115,3.3900760410197703,1,6,0,1,0,0
14,0.07739307390297429,12.743492202852437,9.428757090583174,6.97858304549843,0.31937947783003146,37.62825002422199,28.581524532173045,18.29155247483182,1,2,0,0,0,0
15,0.09612755660372721,14.961692011536304,10.66795051851346,8.927989538324585,0.31937947778968445,71.24307966629192,27.4363727462665,20.811793750549253,1,5,1,0,0,0
